device	help_file	subtitle	category	unique_parameter_annotations	example_source
Feedback Network.amxd	Feedback Network.maxhelp	Randomized Feedback / Distortion	feedback	16	Noise (default) / drumLoop.aif
FilterTaps.amxd	FilterTaps.maxhelp	Filtered Multi-Tap Delay	delay	8	Noise (default) / drumLoop.aif
Flange-o-tron.amxd	Flange-o-tron.maxhelp	Sequenced Flanger	delay	10	Noise (default) / drumLoop.aif
Fragulator.amxd	Fragulator.maxhelp	Fragment / Stutter Processor	granular	9	Noise (default) / drumLoop.aif
Generic Effect.amxd	Generic Effect.maxhelp	Modulated Comb Filter	delay	10	Noise (default) / drumLoop.aif
Granular-to-go.amxd	Granular-to-go.maxhelp	Granular Processor	granular	13	Noise (default) / drumLoop.aif
Harmonic Filter.amxd	Harmonic Filter.maxhelp	Cellular Automata Filter Effect	filter	23	Noise (default) / drumLoop.aif
Mangle Filter.amxd	Mangle Filter.maxhelp	Envelope-Driven Delay / Distortion	filter	8	Noise (default) / drumLoop.aif
Max AutoFilter.amxd	Max AutoFilter.maxhelp	Envelope-Controlled Filter	filter	0	Noise (default) / drumLoop.aif
Max AutoRingMod.amxd	Max AutoRingMod.maxhelp	Envelope-Controlled Ring Modulator	modulation	0	Noise (default) / drumLoop.aif
Max CombFilterMulti.amxd	Max CombFilterMulti.maxhelp	Five-Voice Comb Filter	filter	0	Noise (default) / drumLoop.aif
Max Compressor.amxd	Max Compressor.maxhelp	Stereo Dynamics Processor	dynamics	21	Noise (default) / drumLoop.aif
Max CutKiller.amxd	Max CutKiller.maxhelp	Probabilistic Rhythmic Gate	gating	0	Noise (default) / drumLoop.aif
Max DelayMultiBand.amxd	Max DelayMultiBand.maxhelp	Three-Band Delay	delay	0	Noise (default) / drumLoop.aif
Max DelayTaps.amxd	Max DelayTaps.maxhelp	32-Tap Delay	delay	0	Noise (default) / drumLoop.aif
Max DopplerPan.amxd	Max DopplerPan.maxhelp	Tempo-Synced Doppler / Pan	spatial	0	Noise (default) / drumLoop.aif
